city ,AQI,precipitation,GDP,Temperature,Longititute,Latitude,Altitude,PopulationDensity,Coastal,GreenCoverageRate,Incineration(10000ton)
Sakura,106,1219.8,12939.28,20.49,111.66,44.03,1657.29,17599,0,19.37,405.81
Dashiju,136,1243.1,14522.69,23.0,101.56,24.07,4314.18,20215,1,74.05,79.95
Baiyang,266,261.0,5197.89,10.21,92.09,32.25,3650.81,22997,1,63.03,245.62
Barentu,213,1279.7,12481.1,14.59,92.48,38.57,826.74,18232,1,29.65,678.77
Sokol,213,254.1,14346.7,24.24,118.27,32.47,213.31,24944,0,43.43,177.62
Zaolin,111,1988.3,7613.98,21.11,88.91,41.03,1445.06,286,0,40.49,513.55
Sekolan,75,2280.5,15956.19,7.66,113.99,38.71,3309.74,18325,0,49.09,200.26
Rontu,156,1485.1,5680.76,4.94,90.27,29.05,3351.38,4610,0,50.22,586.09
Lubowidz,300,1305.5,19595.11,19.47,96.73,19.47,2809.08,13698,1,16.39,505.51
Pljevlja,190,112.9,10814.37,1.15,101.02,25.09,968.04,8548,1,32.71,213.71
Buçimas,274,1158.5,23451.68,16.47,121.5,28.69,1642.46,25564,1,50.25,353.08
Orlândia,228,1500.5,2563.07,10.61,108.73,46.29,1068.63,6023,0,38.33,409.37
Tsant,103,667.6,16872.37,4.73,85.61,29.08,3018.44,2754,1,59.99,661.43
Stráž nad Nisou,98,534.3,11365.5,8.7,108.65,21.96,1138.39,11287,0,23.94,499.61
Pojok,271,1501.8,1079.87,8.62,93.86,20.73,253.15,18822,0,57.06,691.05
Mojoagung,147,506.2,20290.39,29.77,81.04,35.94,443.49,6100,1,12.92,11.01
Łubniany,153,1516.2,24849.64,19.05,80.77,41.18,2570.8,17139,0,67.8,648.93
Kisarawe,298,2284.4,24457.25,15.11,120.2,46.55,4347.76,17529,1,69.1,277.59
Kronshtadt,295,606.3,13453.2,18.78,85.63,42.17,3477.27,21505,1,8.71,401.71
Chiri-Yurt,56,386.0,18930.28,26.64,91.38,24.2,3942.68,23408,1,34.91,334.11
Eskilstuna,95,84.5,1512.49,9.61,100.07,19.6,754.71,2804,0,56.3,279.25
Manadas,99,1704.7,16562.42,16.67,117.99,27.39,2878.26,18704,0,65.36,642.58
Karagay,119,2332.8,21111.13,7.6,125.46,49.63,4184.07,15588,0,36.77,223.11
Kanginan,297,2310.1,15630.99,0.71,114.64,31.29,2817.82,13726,0,46.08,652.8
Huili Chengguanzhen,229,2085.5,7308.45,28.03,96.23,19.38,141.75,672,0,58.15,546.23
Río Pico,25,1153.4,11870.61,28.25,108.56,33.31,3572.26,13194,1,41.63,622.64
Garoua Boulaï,148,670.8,22939.38,8.43,89.76,46.22,3301.57,11199,1,64.5,310.49
Grebnevo,299,1523.7,18671.64,5.81,99.73,28.89,4106.94,3371,1,38.85,407.99
Budzów,53,2130.6,5417.18,11.57,105.44,31.08,2606.78,1238,0,14.07,272.01
Sukawaris,62,1883.2,13245.6,12.05,122.63,30.84,2252.71,8219,0,37.31,641.99
Gaotuo,102,1345.4,271.8,8.93,123.08,47.29,2227.62,2051,0,71.34,369.64
Carregado,220,222.0,6912.28,16.38,87.23,43.28,2587.33,20793,1,69.96,55.03
Esmeralda,178,679.3,15714.35,1.56,83.32,26.95,330.87,21085,1,39.22,141.55
Cana Chapetón,51,2079.1,18591.03,29.19,87.3,22.49,3753.25,1701,1,28.26,627.75
Boisbriand,53,1169.0,20102.95,1.9,108.35,45.87,152.25,8054,0,72.66,70.68
Kuniran,124,2113.5,14765.19,18.65,87.03,19.47,3926.9,5998,0,39.07,33.59
Gunungbatu,213,164.6,21499.23,7.6,121.23,32.72,2366.94,14034,1,11.08,143.29
Siborong-borong,207,1019.3,14576.91,2.06,97.16,49.05,3893.93,19624,1,12.71,367.63
Brooklyn,121,522.0,11299.23,16.09,90.6,34.62,916.63,13310,0,13.35,54.73
Kabale,49,238.9,23865.82,19.33,91.23,45.0,4329.05,13959,0,53.41,249.99
Maracay,237,1043.6,1545.46,16.08,111.19,20.18,1882.89,25296,1,57.94,383.08
Duy Xuyên,93,729.5,13970.47,15.24,102.64,28.8,1229.21,6280,1,41.32,355.07
Kaca,104,481.7,13671.15,21.61,108.2,43.74,3585.93,11071,1,42.89,54.45
Pithoro,116,836.9,20442.77,19.67,107.02,18.1,3704.29,2907,1,38.16,364.82
Anwen,130,2047.3,24459.01,10.8,98.07,30.54,445.68,18126,0,60.9,207.2
Shawnee Mission,247,129.7,20581.2,21.59,99.57,20.21,1882.5,1547,1,32.94,579.55
Jakubów,222,846.6,24961.08,12.93,117.14,34.49,2752.29,5123,0,42.45,592.38
Tangtou,271,1547.2,16311.89,17.39,115.66,34.29,1652.57,6116,0,61.89,403.78
Shuanghe,188,2395.6,21843.05,21.01,127.06,24.73,1149.38,4763,0,27.74,249.26
Pangkungparuk,122,1645.2,6332.78,7.17,117.91,29.52,2344.48,10342,1,34.07,424.35
Kampong Chhnang,231,159.4,6285.95,12.53,120.46,34.31,652.97,21542,0,71.78,47.23
Brejo Santo,70,118.2,9164.52,20.12,80.89,27.78,1115.45,7856,1,72.99,310.44
Lamut,100,291.6,7944.18,23.16,121.02,45.36,3624.4,5756,1,56.19,463.65
Oliveira do Conde,41,1099.2,18355.05,1.56,120.96,25.27,485.19,262,0,23.29,483.84
Skelivka,129,1724.2,3003.45,0.02,125.01,21.8,3968.02,12461,0,69.68,268.19
Nakhabino,105,346.5,10229.28,6.7,123.93,24.1,4269.62,8540,0,23.14,383.88
Biao,128,1603.7,12457.42,8.93,116.88,20.76,3421.83,2185,0,44.88,339.23
Campoalegre,148,357.1,285.26,10.94,95.55,34.5,1609.66,12887,1,33.5,288.53
Purac,203,1732.9,9752.05,17.65,92.15,35.47,1203.03,20899,0,49.53,426.39
Soio,281,2082.6,11161.59,8.64,112.78,22.43,3535.2,20287,0,48.95,3.06
Al Fandaqūmīyah,137,1040.6,7129.39,2.49,98.95,25.1,2410.39,18172,0,27.76,112.22
Neochóri,90,278.3,19919.65,15.35,103.78,20.91,3810.87,17416,1,22.31,347.4
Vilyuchinsk,263,1195.9,10211.29,26.61,99.3,37.6,136.17,7877,0,69.97,42.27
La Jagua de Ibirico,234,799.0,16228.89,25.99,119.48,23.63,3699.43,654,1,53.71,350.79
Johogunung,277,1676.9,5014.27,15.14,125.79,24.8,2791.34,7247,1,68.67,51.4
Nordeste,182,2009.4,13994.28,15.84,80.25,24.64,3502.04,22827,1,35.78,532.76
Oelui,251,811.0,1731.43,6.4,90.05,21.34,3631.98,176,1,28.25,365.49
Hradec nad Moravici,94,863.0,17851.07,10.01,123.28,45.38,335.18,23894,0,68.47,540.97
Winterthur,212,1614.3,9295.07,26.58,89.91,19.88,2951.31,18214,0,28.24,230.71
Ganjiangtou,289,1468.8,9535.58,24.92,127.91,24.87,4335.61,24598,1,12.43,4.12
Banjar Sebual,238,794.8,17412.15,12.7,109.46,29.19,298.2,13067,1,30.91,486.0
Huesca,144,851.9,4905.59,10.9,121.63,35.15,3628.51,11441,0,25.07,541.69
Leipzig,237,2369.1,21583.05,24.34,90.24,47.23,3028.53,22859,0,28.56,264.06
Kolor,172,894.5,8858.14,29.77,121.44,36.35,2088.81,5762,0,17.39,272.05
Talisayan,150,2345.3,15442.31,9.54,94.9,49.91,1302.4,18479,0,12.99,206.85
Książki,100,2271.6,1792.54,6.24,120.99,34.65,3271.08,13400,1,44.1,56.04
